"No.","Time","Source","Destination","Protocol","Length","Info"
"21158","35.622414","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21159","35.622414","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21160","35.622797","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21161","35.623108","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21162","35.623108","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21163","35.623108","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21164","35.624730","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21165","35.624730","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21166","35.624730","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21167","35.625126","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21168","35.625936","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21169","35.625936","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21170","35.626272","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21171","35.627676","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21172","35.627676","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21173","35.627676","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21174","35.628264","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21175","35.628977","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21176","35.628977","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21177","35.628977","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21178","35.629402","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21179","35.631163","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21180","35.631163","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21181","35.631163","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
