"No.","Time","Source","Destination","Protocol","Length","Info"
"21422","35.733124","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21423","35.733124","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21424","35.733485","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21425","35.735078","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21426","35.735078","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21427","35.735078","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21428","35.735442","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21429","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21430","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21431","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21432","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21433","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21434","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21435","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21436","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21437","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21438","35.744510","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21439","35.744698","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21440","35.745157","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21441","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21442","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21443","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21444","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21445","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21446","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21447","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21448","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21449","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21450","35.752841","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21451","35.753824","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21452","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21453","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21454","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21455","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21456","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21457","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21458","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21459","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21460","35.759902","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
