"No.","Time","Source","Destination","Protocol","Length","Info"
"23387","36.652268","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23388","36.652268","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23389","36.652503","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23390","36.653677","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23391","36.653782","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23392","36.653782","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23393","36.653914","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23394","36.664217","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23395","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23396","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23397","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23398","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23399","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23400","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23401","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23402","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23403","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23404","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23405","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23406","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23407","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23408","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23409","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23410","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23411","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23412","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23413","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23414","36.664564","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23415","36.665078","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23416","36.665238","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23417","36.665458","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23418","36.665875","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23419","36.665875","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23420","36.666965","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23421","36.666965","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23422","36.667151","192.168.2.20","184.150.37.140","UDP","82","59673  >  443 Len=40"
"23423","36.668498","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
